UID: 3674537,Company Name: ,Country: 
Uid,Time,Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Fee Rate,Trade ID,Order ID
3674537,2026-03-24 02:03:31,USDT,SIRENUSDT,Trade,Close Long,536.0000,444.0000,1.01597026,0E-8,0.59901611,48.51740422,47.91838811,5478.93568899,0.00110000,a9e002f5-8354-5ca5-8f83-38a989f2fc8e,2146b784-f0ca-43ab-9456-fb26c4711723
3674537,2026-03-24 02:03:31,USDT,SIRENUSDT,Trade,Close Long,15.0000,1240.0000,1.02806000,0E-8,0.01696298,1.53910913,1.52214615,5394.47989722,0.00110000,b1d59af5-a49f-5edb-8997-c2e4baaf6ea8,cdeeea59-68bb-42e5-83ea-88428d1cb86d
3674537,2026-03-24 02:50:16,USDT,SIRENUSDT,Trade,Open Short,26.0000,26.0000,0.99112000,0E-8,0.02834604,0E-8,-0.02834604,5543.37085686,0.00110000,fd3e60f7-cdc3-54a2-9d40-510fce4795cc,06dd42a4-337c-49de-8731-f40ea472a9a1
3674537,2026-03-23 22:33:19,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.23950000,-0.23950000,5370.58639724,0E-8,,
3674537,2026-03-24 19:28:50,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.02030000,-0.02030000,5545.57595963,0E-8,,
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,13.0000,2084.0000,0.91664000,0E-8,0.01310796,0E-8,-0.01310796,5368.37149985,0.00110000,f30ac40e-9830-5c75-8a07-7a059845400b,8c95b070-419b-4952-9245-6950cb86158a
3674537,2026-03-24 02:04:28,USDT,SIRENUSDT,Trade,Close Long,77.0000,222.0000,1.01580099,0E-8,0.08603834,6.95681695,6.87077861,5483.46095845,0.00110000,bac765f4-e931-5e41-b073-61b880e6bb43,f6a561dd-57df-4b9b-a24d-8ad8a9868937
3674537,2026-03-24 01:55:46,USDT,SIRENUSDT,Trade,Open Long,78.0000,319.0000,1.03039000,0E-8,0.08840747,0E-8,-0.08840747,5370.20709904,0.00110000,7ffd191e-377f-5004-8b8f-40c011252bb6,68f3b988-67de-4fac-a86c-ec4bdbe06695
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,53.0000,1917.0000,0.91381000,0E-8,0.05327513,0E-8,-0.05327513,5368.53974321,0.00110000,34184fd2-f5e5-5bb8-a615-e3c69fe9fd30,8c95b070-419b-4952-9245-6950cb86158a
3674537,2026-03-24 09:07:00,USDT,DUSKUSDT,Trade,Close Short,433.0000,408.0000,0.12083000,0E-8,0.05755133,0.84868000,0.79112867,5544.90903161,0.00110000,150e9866-85f2-566b-be95-7777a21fb98c,c86c52a2-fa58-4957-bc55-2783955eaa20
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,127.0000,1730.0000,0.90807000,0E-8,0.12685738,0E-8,-0.12685738,5368.72694220,0.00110000,2017103e-44f0-5a11-8533-bcfbc8c3c7dd,6ce8aea2-d217-4abc-aa38-ec010921a4c3
3674537,2026-03-24 02:00:45,USDT,SIRENUSDT,Trade,Open Long,107.0000,2263.0000,0.84821000,0E-8,0.09983432,0E-8,-0.09983432,5368.19912209,0.00110000,4e60d5d0-ab77-5de2-b204-1db6c6a05340,d8d1c213-abe4-489a-9b37-dc8eb6980c94
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,80.0000,1596.0000,0.90770000,0E-8,0.07987760,0E-8,-0.07987760,5368.86078988,0.00110000,d0d073f5-3a3e-58f3-a0ff-f93346207ace,6ce8aea2-d217-4abc-aa38-ec010921a4c3
3674537,2026-03-24 02:03:22,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.10060000,-0.10060000,5395.33995107,0E-8,,
3674537,2026-03-24 02:02:51,USDT,,Pre-deduction return,,,,,0E-8,0E-8,-0.15300000,-0.15300000,5374.25331722,0E-8,,
3674537,2026-03-24 02:03:20,USDT,SIRENUSDT,Trade,Close Long,30.0000,1480.0000,0.95110000,0E-8,0.03138630,0.76941846,0.73803216,5393.16860565,0.00110000,2260a939-e451-50af-bfe9-0f7222dad080,73a42bba-7858-4db3-9af5-6f3c7758e2bd
3674537,2026-03-24 09:07:00,USDT,DUSKUSDT,Trade,Close Short,245.0000,163.0000,0.12083000,0E-8,0.03256369,0.48020000,0.44763631,5545.35666792,0.00110000,54346a50-9bca-50a2-8724-91205717f096,c86c52a2-fa58-4957-bc55-2783955eaa20
3674537,2026-03-24 01:55:46,USDT,SIRENUSDT,Trade,Open Long,29.0000,241.0000,1.03036000,0E-8,0.03286849,0E-8,-0.03286849,5370.29550651,0.00110000,4b315a6d-dc3d-5239-90a5-80eabd0cee58,68f3b988-67de-4fac-a86c-ec4bdbe06695
3674537,2026-03-24 01:59:31,USDT,SIRENUSDT,Trade,Open Long,2.0000,2099.0000,0.91665000,0E-8,0.00201663,0E-8,-0.00201663,5368.35637526,0.00110000,b74278e0-feef-512a-b4ba-b7d80f005c03,8c95b070-419b-4952-9245-6950cb86158a
3674537,2026-03-24 01:55:34,USDT,SIRENUSDT,Trade,Open Long,44.0000,150.0000,1.06284000,0E-8,0.05144146,0E-8,-0.05144146,5370.40086137,0.00110000,180ad213-5062-518e-ba54-17595528d2ba,afef0975-b5a5-4b69-bb33-d9a6f7174e0d
